Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),,,,,,,,,,,,,,,,,,,,
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,,,,,,,,,,,,,,,,,,,,
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),,,,,,,,,,,,,,,,,,,,
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,,,,,,,,,,,,,,,,,,,,
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-04,понедельник,,,,,,,,,,,,,,,,,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 33 кабинете Горюнова Н.В.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,Консультация по алгебре по академическим задолжностям в 15:45 в 30 кабинете Васянин С.И.,,,,,,,,,,,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,Консультация по геометрии по академическим задолжностям в 16:30 в 36 кабинет Букин Д.Б.Консультация по алгебре по академическим задолжностям в 15:45 в 31 кабинет  Грехова Д.Д.,
2023-09-05,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-06,среда,,,,,,,,,,,,,,,,,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,Консультация по геометрии по академическим задолжностям в 16:00 в 33 кабинете Малахов А.И.Консультация по физике и спец.физ. по академическим задолжностям в 15:45 в 415 кабинете Пылев И.С.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-07,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,Консультация по геометрия по академическим задолжностям в 15:45 в 34 кабинете  Копылова А.В.,,,,,,,,,,,,,,,,,,,,,
2023-09-08,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,16.30 Консультация по а/з по русскому языку Петрухина ЮБ каб  309,,,,16.30 Консультация по а/з по русскому языку Петрухина ЮБ каб 309,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-09,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-11,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-12,вторник,,,Стартовый контроль по русскому языку,,Стартовый контроль по русскому языку,,,,,,,,,,,,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,Пересдача АЗ математика с 10:50 до 12:50,,,,,,,,,,,,,,,,,,,,
2023-09-13,среда,,,,,,,,,,,,,,,,,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,Русский язык пересдача АЗ с 10:50 до 12:30 в 31 к.,,,,,,,,,,,,,,,,,,,,
2023-09-14,четверг,,,,,,,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,ОТБОРОЧНАЯ ОЛИМПИАДА НА КРУЖОК по математике,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-15,пятница,,,,,,,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,ВХОДНАЯ КОНТРОЛЬНАЯ РАБОТА ПО АЛГЕБРЕ,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30,Пересдача АЗ геометрия в 15:30
2023-09-16,суббота,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-18,понедельник,,,,,,,,,,,,,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,7д Стартовый контроль по русскому языку,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,Пересдача АЗ по физике и практфизу в 16:00 в 409 каб.и 412 каб.,,,,,,,,,,,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике,Работа в формате ЕГЭ по математике
2023-09-19,вторник,,,,,,,,,,,,,,,,,,,,,,,,,Стартовый контроль по русскому языку,,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,Стартовая диагностическая работа по математике,,,,,,,,,,,,,,,,,,,,
2023-09-20,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку,Работа в формате ЕГЭ по русскому языку
2023-09-21,четверг,,,Контр. диктант,,Контр. диктант,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-22,пятница,,,,,,,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,Входной срез по алгебре,,,,,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,Стартовый контроль по русскому языку,,,,,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-23,суббота,,,,,,,,,,,,,Стартовый контроль по русскому языку,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-25,понедельник,,,,,,,,,,,,,,,,,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,Пересдача АЗ по геометрии,,,,,Физика КР,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-26,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Сочинение по литературе,,,,,,,,,,,,,,,,,
