Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2024-04-03,среда,МЦКО функциональная грамотность (математическая грамотность),МЦКО функциональная грамотность (математическая грамотность),МЦКО функциональная грамотность (математическая грамотность),МЦКО функциональная грамотность (математическая грамотность),МЦКО функциональная грамотность (математическая грамотность),МЦКО функциональная грамотность (математическая грамотность),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-04,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-05,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет","ЕГКР математика (базовая, профильная) - уроков нет"
2024-04-06,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,Тренировочный экзамен по информатике с выходом на ППЭ,,,,,,,,,,,,,,,,,,,,
2024-04-15,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-16,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию,ЕГКР английский язык - уроки по расписаниюЕГКР Биология - уроки по расписанию
2024-04-17,среда,,,,,,,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,МЦКО русский язык,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-18,четверг,,,,,,,,,,,,,,,,,огэ английский,,огэ английский,,огэ английский,,огэ английский,,огэ английский,,,,,,,,,,,,"ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию","ЕГКР химия, история, литература, география - уроки по расписанию",,,,,,,,,,
2024-04-19,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-20,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию,ЕГКР английский язык (устный) ППЭ - уроки по расписанию
2024-04-22,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-23,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания","ЕГКР обществознание и физика - уроки, возможна корректрировка расписания"
2024-04-24,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,Тренировочная работа по физике в формате ОГЭ,,,,,,,,,,,,,,,,,,,,
2024-04-25,четверг,,,,,,,,,,,,,,,,,МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),МЦКО математика (углубленный уровень),,,,,,,,,,,,,,,,,,,,,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ,СРЕЗОВАЯ РАБОТА ПО МАТЕМАТИКЕ
2024-04-26,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04-27,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания","ЕГКР информатика и ИКТ ППЭ - уроки, возможна корректрировка расписания"
2024-05-02,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Зачет геометрия (29 апреля?),,,,,,,,,,,,,,,,,,,,,,,
2024-05-03,пятница,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,МЦКО резерв функциональная грамотность (математическая грамотность)МЦКО резерв предмет по жеребьевке,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-04,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-06,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,Тренировочная работа по математике  в формате ОГЭ,,,,,,,,,,,,,,,,,,,,
2024-05-07,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ,Тренировочная работа по русскому языку  в формате ЕГЭ
2024-05-08,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,Тренировочная работа по русскому языку  в формате ОГЭ,,,,,,,,,,,,,,,,,,,,
2024-05-11,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-13,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,зачет по мехнике,зачет по мехнике,,,зачет по мехнике,зачет по мехнике,зачет по мехнике,зачет по мехнике,,,,,,,,,,,,,,,,,,,,
2024-05-14,вторник,,,,,,,,,,,,,,,,,МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),МЦКО резерв два предмета по выбору                                                 МЦКО резерв русский язык                                                                                                                                       МЦКО резерв математика (углубленный уровень),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-16,четверг,,,,,,,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,МЦКО  резерв предмет по жеребьевкеМЦКО резерв математика (углубленный уровень)    МЦКО резерв русский язык,,,,,,,,,,,зачет по мехнике,зачет по мехнике,,,зачет по мехнике,зачет по мехнике,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-17,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-18,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-20,понедельник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-21,вторник,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,ОГЭ английский язык,,,,,,,,,,,,,,,,,,,,
2024-05-22,среда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-23,четверг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-24,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-25,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика","ОГЭ обществозание, химия, биология, информатика",,,,,,,,,,,,,,,,,,,,
2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,ОГЭ русский язык,,,,,,,,,,,,,,,,,,,,
2024-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,ОГЭ математика,,,,,,,,,,,,,,,,,,,,
2024-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,ОГЭ физика,,,,,,,,,,,,,,,,,,,,
2024-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
